id;description_zh;description_en;part_number;name_en;name_zh;category_en;category_zh;manufacturing_country_en;manufacturing_country_zh;condition_zh;condition_en;quality;car_brand_en;car_brand_zh;car_model_en;car_model_zh;part_year;factory_part_zh;factory_part_en;factory_name_zh;factory_name_en;factory_phone_number;factory_site_url
4287;发电机皮带，一种耐用的部件，用于将发动机的动力高效地传递到发电机。;Dynamo Belt, a durable component for efficient power transfer from the engine to the dynamo.;А12-100.3.000.000;Alternator belt;发电机皮带;Engine / Belts;发动机/皮带;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
4288;挡风玻璃雨刮电机，一种高性能部件，可实现可靠的挡风玻璃刮擦。;Windshield Wiper Motor, a high-performance component for reliable windshield wiping.;249.2111.30.04;Windshield wiper motor;雨刷电机;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;;#VALUE!;;;;
4289;雨刮片，高清晰度刮片，可在各种天气条件下提供最佳视野。;Wiper Blades, high-clarity blades for optimal visibility in all weather conditions.;249.2111.30.04;Windshield wiper blade;雨刷片;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;;#VALUE!;;;;
4290;制动主缸，一种旨在实现最佳液压和可靠制动性能的优质部件。;Master Brake Cylinder, a premium component designed for optimal hydraulic pressure and reliable braking performance.;461.315.076.0;Master cylinder;主缸;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;;#VALUE!;;;;
4291;离合器缸的设计旨在实现最佳离合器操作和顺畅换挡。;Clutch Cylinder designed for optimal clutch operation and smooth gear shifting.;256-1602510/510-01;Clutch cylinder;离合器液压缸;Clutch System;离合器系统;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;;#VALUE!;;;;
4292;高品质前挡风玻璃底釉，增强挡风玻璃的耐用性和密封性。;High-quality Front Windshield Underglaze for enhanced windshield durability and sealing.;256-5206016;Front windshield;前挡风玻璃;Body / Glass;主体/玻璃;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;;#VALUE!;;;;
4293;耐用的后减震器垫，旨在实现最佳悬架性能和舒适性。;Durable Rear Shock Absorber Pad designed for optimal suspension performance and comfort.;40/19.2905486;Rear shock absorber mount;后减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
4294;重型万向节轴横梁，专为精确传动系统对准和减少振动而设计。;Heavy-duty Cardan Shaft Cross Member engineered for precise drivetrain alignment and vibration reduction.;5320-2201025-02;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;变速器/传动系统;China;中国;新的;New;Original;MAZ;MAZ;266270 avtobus;266270 自动巴士;2 012,00;万向节;Universal joint;晋江市航万汽车部件有限公司;Jinjiang Hangwan Automobile Parts Co., Ltd.;15906099888,00;http://www.qgwx.com/
4295;优质发动机油，提供卓越的发动机润滑和保护。;Premium Engine Oil for superior engine lubrication and protection.;5x30;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mercedes-Benz;梅赛德斯-奔驰;E-250;E-250;2 014,00;;#VALUE!;;;;
4296;高效发动机机油滤清器，可实现最佳发动机性能和延长发动机寿命。;High-efficiency Engine Oil Filter for optimal engine performance and extended engine life.;6511800 109;Oil filter;机油滤清器;Engine;引擎;China;中国;新的;New;Original;Mercedes-Benz;梅赛德斯-奔驰;E-250;E-250;2 014,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
4297;优质冷却液（防冻液），有效调节发动机温度并防止腐蚀。;Premium Coolant (Antifreeze) for effective engine temperature regulation and corrosion prevention.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;Mercedes-Benz;梅赛德斯-奔驰;E-250;E-250;2 014,00;;#VALUE!;;;;
4298;耐用的下部散热器管设计用于高效冷却液流动和发动机冷却。;Durable Lower Radiator Pipe designed for efficient coolant flow and engine cooling.;251050-1303105;Lower radiator hose;散热器下水管;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
4299;耐用型供暖炉管（软管），专为可靠的供暖系统性能而设计。;Durable Heating Furnace Pipe (Hose) designed for reliable heating system performance.;152-1303050-22;Heater hose;暖风水管;Cooling / Heating System;制冷/制热系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
4300;燃油喷射器清洗，提高燃油效率和发动机性能。;Fuel Injector Flush for improved fuel efficiency and engine performance.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;;#VALUE!;;;;
4301;高性能水泵，旨在实现最佳冷却液循环和发动机冷却。;High-performance Water Pump designed for optimal coolant circulation and engine cooling.;5288908 ;Water pump;水泵;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;水泵;water pump;临清市锡柴水泵有限公司;LINQINGSHI XICHAISHUIBENG CO.LTD.;0635-2613435;http://sdxcsb.cn/
4302;高性能燃油泵，确保可靠的燃油输送和发动机性能。;High-performance Fuel Pump for reliable fuel delivery and engine performance.;5303387;Fuel pump;燃油泵;Fuel System;燃油系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;水泵;water pump;临清市锡柴水泵有限公司;LINQINGSHI XICHAISHUIBENG CO.LTD.;0635-2613435;http://sdxcsb.cn/
4303;高扭矩起动电机，专为可靠的发动机启动性能而设计。;High-torque Starter designed for reliable engine starting performance.;5585086 ;Starter motor;起动机;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4304;优质启动变速器（Bendex），可实现可靠的发动机启动和啮合。;Premium Starter Transmission (Bendex) for reliable engine starting and engagement.;005151 2201;Starter drive;起动机单向器;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4305;耐用型启动开关（自动），用于可靠地启动电机和启动发动机。;Durable Starter Switch (Automatic) for reliable starter motor operation and engine starting.;SS5003P;Starter solenoid;起动机电磁开关;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4306;高性能起动碳膜，专为高效电气接触和起动电机运行而设计。;High-performance Starter Carbon designed for efficient electrical contact and starter motor operation.;940113 190351;Starter brush;起动机碳刷;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4307;专为可靠启动电机运行而设计的高级启动锚。;Premium Starter Anchor designed for reliable starter motor operation.;0 331 402 206;Starter coil;起动机绕组;Engine / Starter;发动机/启动机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;起动机;starter;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4308;用于可靠发电的高输出发电机。;High-output Dynamo for reliable electrical power generation.;5287123 ;Alternator;发电机;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4309;可靠的发电机继电器，用于精确的电压调节和电气系统保护。;Reliable Dynamo Relay for precise voltage regulation and electrical system protection.;ARP1085BJ;Alternator relay;发电机继电器;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4310;用于高效发电的优质发电机电枢（绕组）。;Premium Dynamo Armature (Winding) for efficient electrical power generation.;3232.377 1100;Alternator winding;发电机绕组;Engine / Alternator;发动机/交流发电机;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;发电机;dynamo;宁波华泰汽车电器总厂;Ningbo Huatai Automotive Electric Works;0574-63288017;www.nbhuatai.com
4311;耐用型发电机皮带，可可靠地将动力传输至发电机。;Durable Dynamo Belt for reliable power transmission to the dynamo.;3099256;Alternator belt;发电机皮带;Engine / Belts;发动机/皮带;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
4312;高性能雨刮电机，有效清洁挡风玻璃。;High-performance Windshield Wiper Motor for efficient windshield cleaning.;A12-100.1.000.000;Windshield wiper motor;雨刷电机;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;;#VALUE!;;;;
4313;高品质雨刮片，确保在各种天气条件下都能拥有清晰的视野。;High-quality Wiper Blades for clear visibility in all weather conditions.;A12-100.1.000.000;Windshield wiper blade;雨刷片;Accessories / Wipers;配件/雨刮器;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;;#VALUE!;;;;
4314;优质主制动缸，设计用于实现最佳液压和可靠的制动性能。;Premium Master Brake Cylinder designed for optimal hydraulic pressure and reliable braking performance.;103-3511110-10;Master cylinder;主缸;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;;#VALUE!;;;;
4315;离合器缸的设计旨在实现最佳离合器操作和顺畅换挡。;Clutch Cylinder designed for optimal clutch operation and smooth gear shifting.;623160;Clutch cylinder;离合器液压缸;Clutch System;离合器系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;;#VALUE!;;;;
4316;高品质前挡风玻璃底釉，增强挡风玻璃的耐用性和密封性。;High-quality Front Windshield Underglaze for enhanced windshield durability and sealing.;251050-5206016;Front windshield;前挡风玻璃;Body / Glass;主体/玻璃;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;;#VALUE!;;;;
4317;耐用的后减震器垫，旨在实现最佳悬架性能和舒适性。;Durable Rear Shock Absorber Pad designed for optimal suspension performance and comfort.;81437016830;Rear shock absorber mount;后减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
4318;重型万向节轴横梁，专为精确传动系统对准和减少振动而设计。;Heavy-duty Cardan Shaft Cross Member engineered for precise drivetrain alignment and vibration reduction.;6430-3444063;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;变速器/传动系统;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;万向节;Universal joint;晋江市航万汽车部件有限公司;Jinjiang Hangwan Automobile Parts Co., Ltd.;15906099888,00;http://www.qgwx.com/
4319;坚固耐用的右上控制臂，可实现最佳悬架性能和车辆操控性。;Durable Upper Right Arm for optimal suspension performance and vehicle handling.;251050-2904015;Upper right control arm;右上控制臂;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
4320;耐用的左上控制臂，可实现最佳悬架性能和车辆操控性。;Durable Upper Left Arm for optimal suspension performance and vehicle handling.;5320-2201025-02;Upper left control arm;左上控制臂;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;241030 avtobus;241030 自动巴士;2 016,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
4321;专为实现最佳发动机润滑和性能而设计的发动机油。;Engine Oil designed for optimal engine lubrication and performance.;15x40;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4322;专为提供卓越过滤效果和发动机保护而设计的机油滤清器。;Engine Oil Filter engineered for superior filtration and engine protection.;5262313 ;Oil filter;机油滤清器;Engine;引擎;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
4323;专为有效调节发动机温度和耐腐蚀性而配制的冷却液。;Coolant formulated for efficient engine temperature regulation and corrosion resistance.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4324;专为实现平稳传动性能和减少磨损而设计的变速箱油。;Gearbox Oil designed for smooth transmission performance and wear reduction.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4325;燃油滤清器设计用于高效过滤燃油和保护发动机。;Fuel Filter designed for efficient fuel filtration and engine protection.;4970909 ;Fuel filter;燃油滤清器;Fuel System;燃油系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
4326;专为提供卓越的空气过滤效果和发动机保护而设计的空气滤清器。;Air Filter designed for superior air filtration and engine protection.;4598092565;Air filter;空气滤清器;Engine;引擎;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
4327;专为高效燃烧和发动机性能而设计的火花塞。;Spark Plug engineered for efficient combustion and engine performance.;5262804F;Spark plug;火花塞;Engine;引擎;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;火花塞;spark plug;宁波军士火花塞制造有限公司;Ningbo Noncommissioned Office Spark Plug Manufacture Co., Ltd.;0574-86691884;www.ncosp.com
4328;专为实现最佳照明和可视性而设计的灯泡。;Bulb designed for optimal illumination and visibility.;5258744F;Ignition coil;点火线圈;Engine;引擎;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;火花塞;spark plug;宁波军士火花塞制造有限公司;Ningbo Noncommissioned Office Spark Plug Manufacture Co., Ltd.;0574-86691884;www.ncosp.com
4329;发动机皮带（链条）的设计旨在实现可靠的动力传输和发动机运转。;Engine Belt (Chain) engineered for reliable power transmission and engine operation.;4896380 ;Engine timing chain;发动机正时链条;Engine;引擎;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;皮带;belt;河北省巨鹿县东风内燃机配件厂;Hebei Province Julu County Dongfeng Internal Combustion Engine Parts Factory;0319-4333791;
4330;发动机支架设计用于抑制振动和提高发动机稳定性。;Engine Mount designed for vibration dampening and engine stability.;0420 8568;Engine mount;发动机支架;Engine;引擎;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4331;前刹车片经过精心设计，可实现最佳制动性能和安全性。;Front Brake Pads engineered for optimal braking performance and safety.;4370-3502105;Front brake caliper;前制动卡钳;Brake System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
4332;后刹车片经过精心设计，可实现最佳制动性能和安全性。;Rear Brake Pads engineered for optimal braking performance and safety.;4370-3502105;Rear brake caliper;后制动卡钳;Brake System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
4333;冰箱（空调）空气过滤器，旨在高效净化空气并保护冷却系统。;Refrigerator (Air Conditioner) Air Filter designed for efficient air purification and cooling system protection.;MANN‑FILTER CU 2567;Air conditioning air filter;空调空气滤清器;Air Conditioning;空调;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;滤芯;filter element;廊坊生光滤清器有限公司;LANGFANG SHENGGUANG FILTER CO.,LTD.;0316-8660998;www.lfsg.net
4334;冰箱（空调）压缩机设计用于高效制冷剂压缩和制冷性能。;Refrigerator (Air Conditioner) Compressor designed for efficient refrigerant compression and cooling performance.;DD21505-000220;Air conditioning compressor;空调压缩机;Air Conditioning;空调;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4335;为冰箱（空调）补充制冷剂（氟利昂），以达到最佳制冷效率。;Refrigerator (Air Conditioner) Gas (Freon) replenishment for optimal cooling efficiency.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;空调;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4336;前减震器经过精心设计，可提供卓越的乘坐舒适性和操控性。;Front Shock Absorber engineered for superior ride comfort and handling.;40.2905006-10;Front shock absorber;前减震器;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
4337;后减震器经过精心设计，可提供卓越的乘坐舒适性和操控性。;Rear Shock Absorber engineered for superior ride comfort and handling.;40.2915006-10;Rear shock absorber;后减震器;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
4338;前减震器经过精心设计，可提供卓越的乘坐舒适性和操控性。;Front Shock Absorber engineered for superior ride comfort and handling.;40/19.2905486;Front shock absorber mount;前减震器胶垫;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;减震器;shock absorbers;济南凯睿汽车配件有限公司;Jinan Kairui Auto Parts Co., Ltd.;0531-85669090;
4339;车轮定位调整（外倾角）可实现精确的车辆操控和优化轮胎磨损。;Wheel Alignment Adjustment (Camber) for precise vehicle handling and tire wear optimization.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4340;用于全面分析和故障排除的诊断工具。;Diagnostics for comprehensive vehicle system analysis and troubleshooting.;XİDMƏT;.;.;;#VALUE!;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4341;凸轮轴传感器，专为精确监控发动机正时和性能而设计。;Camshaft Sensor designed for precise engine timing and performance monitoring.;4327230;Camshaft;凸轮轴;Engine / Internal Parts;发动机/内部零件;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
4342;曲轴传感器，设计用于精确检测发动机转速和位置。;Crankshaft Sensor designed for accurate engine speed and position sensing.;5594276;Crankshaft;曲轴;Engine / Internal Parts;发动机/内部零件;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
4343;催化传感器，专为控制排放和优化发动机性能而设计。;Catalyst Sensor designed for emissions control and optimal engine performance.;2872858 ;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;发动机/排放传感器;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
4344;专为精确监测机油压力和保护发动机而设计的机油传感器。;Oil Sensor designed for accurate oil pressure monitoring and engine protection.;3329617;Oil pressure sensor;机油压力传感器;Engine / Sensors;发动机/传感器;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;传感器;sensor;温州顶集汽车电子有限公司;Wenzhou Dingji Auto Parts Co.,Ltd.;0577-65163585;http://www.radingji.com/
4345;前支撑盘专为可靠的制动卡钳支撑和性能而设计。;Front Support Disc engineered for reliable brake caliper support and performance.;II37638;Front brake disc;前刹车盘;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
4346;后支撑盘专为可靠地支撑制动卡钳和提升制动性能而设计。;Rear Support Disc engineered for reliable brake caliper support and performance.;4370-3502070;Rear brake disc;后刹车盘;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;刹车片;brake pads;山东亨通汽车部件有限公司;Shandong Hengtong Auto Parts Co., Ltd.;86(531)8195 6967;www.htsyqp.com
4347;前后稳定杆橡胶设计，旨在提高悬架稳定性和操控性。;Front and Rear Stabilizer Rubbers designed for improved suspension stability and handling.;4370-2906030;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4348;右下摆臂的设计旨在实现强大的悬架控制和车辆稳定性。;Lower Right Arm designed for robust suspension control and vehicle stability.;4370-2906022;Lower right control arm;右下控制臂;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
4349;左下摆臂的设计旨在实现强大的悬架控制和车辆稳定性。;Lower Left Arm designed for robust suspension control and vehicle stability.;4370-2906022;Lower left control arm;左下控制臂;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
4350;下部皮带轮的设计旨在提高附件皮带的运行效率和发动机性能。;Lower Pulley designed for efficient accessory belt operation and engine performance.;4370-2906044;Lower ball joint;下球头;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
4351;轮毂轴承，一种精密配合的部件，可实现车轮平稳旋转并减少摩擦。;Hub Bearing, a precision-fit component for smooth wheel rotation and reduced friction.;6-7612А;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;悬架/车轮组件;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4352;稳定杆连杆，旨在增强车辆的稳定性和操控性。;Stabilizer Bar Link, designed to enhance vehicle stability and control.;4370-2902447;Stabilizer link;稳定杆连接杆;Suspension;暂停;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;悬挂配件厂家;Suspension parts manufacturers;济南凯翼(华兴)汽车配件有限公司;JINAN KAIYI (HUAXING) AUTO PARTS CO., LTD;86-15169120622;
4353;刹车软管，OEM品质的替代品，可安全高效地输送刹车油。;Brake Hose, an OEM-quality replacement for safe and efficient brake fluid transfer.;151-3506084;Brake hose;刹车软管;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;橡胶管;rubber hose;清河县星星汽配制造有限公司;Qinghe Xingxing Auto Parts Manufacturing Co., Ltd.;0319-8050320;
4354;前刹车支架，经过精心设计，可实现最佳刹车片对齐和制动性能。;Front Brake Support, engineered for optimal brake pad alignment and braking performance.;4370-3501015;Front brake caliper;前刹车卡钳;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;制动钳;Brake caliper;山东春城汽车零部件制造有限公司;Shandong Chuncheng Automotive Parts Manufacturing Co., Ltd;15688882128,00;
4355;后刹车支架，一种耐用的部件，可确保刹车片牢固安装并提供稳定的制动力。;Rear Brake Support, a durable component for secure brake pad placement and consistent stopping power.;4370-3502111-010;Rear brake caliper;后刹车卡钳;Braking System;制动系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;制动钳;Brake caliper;山东春城汽车零部件制造有限公司;Shandong Chuncheng Automotive Parts Manufacturing Co., Ltd;15688882128,00;
4356;动力转向系统，旨在实现精准的转向控制和驾驶舒适性。;Power Steering Wheel, designed for precise steering control and driver comfort.;5336-3416044-01;Power steering rack;转向助力齿条;Steering / Power Steering;转向/动力转向;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;转向拉杆;Steering tie rod;济南泽发共赢配件制造有限公司;JINAN ZEFA WIN WIN ACCESSORIES MANUFACTURING CO.，LTD.;0531-82886188;
4357;动力转向油，一种高性能润滑剂，可实现平稳灵敏的转向操作。;Power Steering Oil, a high-performance lubricant for smooth and responsive steering operation.;ATF 3;Türkiyə;Türkiyə;Türkiyə;土耳其语;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;;#VALUE!;;;;
4358;水冷散热器，专为高效发动机冷却和最佳热管理而设计。;Water Radiator, engineered for efficient engine cooling and optimal thermal management.;4370-1301010;Radiator;散热器;Engine / Cooling System;发动机/冷却系统;China;中国;新的;New;Original;MAZ;MAZ;256270 avtobus;256270 巴士;2 012,00;散热器;heat sink;山东欣亿翔汽车零部件有限公司;SHANDONG XINYIXIANG AUTOMOTIVE PARTS CO.，LTD.;0158-63654999;https://www.sdxinyixiang.com/
